year,month,gov_gop,sen_gop,rep_gop,gov_dem,sen_dem,rep_dem,president
1947,January,23,51,253,23,45,198,dem
1947,February,23,51,253,23,45,198,dem
1947,March,23,51,253,23,45,198,dem
1947,April,23,51,253,23,45,198,dem
1947,May,23,51,253,23,45,198,dem
1947,June,23,51,253,23,45,198,dem
1947,July,23,51,253,23,45,198,dem
1947,August,23,51,253,23,45,198,dem
1947,September,23,51,253,23,45,198,dem
1947,October,23,51,253,23,45,198,dem
1947,November,24,51,253,23,45,198,dem
1947,December,24,51,253,23,45,198,dem
1948,January,22,53,253,24,48,198,dem
1948,February,22,53,253,24,48,198,dem
1948,March,22,53,253,24,48,198,dem
1948,April,22,53,253,24,48,198,dem
1948,May,22,53,253,24,48,198,dem
1948,June,22,53,253,24,48,198,dem
1948,July,22,53,253,24,48,198,dem
1948,August,22,53,253,24,48,198,dem
1948,September,22,53,253,24,48,198,dem
1948,October,22,53,253,24,48,198,dem
1948,November,22,53,253,24,48,198,dem
1948,December,22,53,253,24,48,198,dem
1949,January,18,45,177,29,58,269,dem
1949,February,18,45,177,29,58,269,dem
1949,March,18,45,177,29,58,269,dem
1949,April,18,45,177,29,58,269,dem
1949,May,18,45,177,29,58,269,dem
1949,June,18,45,177,29,58,269,dem
1949,July,18,45,177,30,58,269,dem
1949,August,18,45,177,30,58,269,dem
1949,September,18,45,177,30,58,269,dem
1949,October,18,45,177,30,58,269,dem
1949,November,18,45,177,30,58,269,dem
1949,December,18,45,177,30,58,269,dem
1950,January,18,44,177,29,57,269,dem
1950,February,18,44,177,29,57,269,dem
1950,March,18,44,177,29,57,269,dem
1950,April,18,44,177,29,57,269,dem
1950,May,18,44,177,29,57,269,dem
1950,June,18,44,177,29,57,269,dem
1950,July,18,44,177,29,57,269,dem
1950,August,18,44,177,29,57,269,dem
1950,September,18,44,177,29,57,269,dem
1950,October,18,44,177,29,57,269,dem
1950,November,18,44,177,29,57,269,dem
1950,December,18,44,177,29,57,269,dem
1951,January,24,47,207,22,51,242,dem
1951,February,24,47,207,22,51,242,dem
1951,March,24,47,207,22,51,242,dem
1951,April,24,47,207,22,51,242,dem
1951,May,24,47,207,22,51,242,dem
1951,June,24,47,207,22,51,242,dem
1951,July,24,47,207,22,51,242,dem
1951,August,24,47,207,22,51,242,dem
1951,September,24,47,207,22,51,242,dem
1951,October,25,47,207,22,51,242,dem
1951,November,25,47,207,22,51,242,dem
1951,December,25,47,207,22,51,242,dem
1952,January,24,50,207,22,50,242,dem
1952,February,24,50,207,22,50,242,dem
1952,March,24,50,207,22,50,242,dem
1952,April,24,50,207,22,50,242,dem
1952,May,24,50,207,22,50,242,dem
1952,June,24,50,207,22,50,242,dem
1952,July,24,50,207,22,50,242,dem
1952,August,24,50,207,22,50,242,dem
1952,September,24,50,207,22,50,242,dem
1952,October,24,50,207,22,50,242,dem
1952,November,24,50,207,22,50,242,dem
1952,December,24,50,207,22,50,242,dem
1953,January,29,50,222,17,49,220,gop
1953,February,29,50,222,17,49,220,gop
1953,March,29,50,222,17,49,220,gop
1953,April,29,50,222,17,49,220,gop
1953,May,29,50,222,17,49,220,gop
1953,June,29,50,222,17,49,220,gop
1953,July,29,50,222,17,49,220,gop
1953,August,29,50,222,17,49,220,gop
1953,September,29,50,222,17,49,220,gop
1953,October,30,50,222,18,49,220,gop
1953,November,30,50,222,18,49,220,gop
1953,December,30,50,222,18,49,220,gop
1954,January,29,55,222,18,53,220,gop
1954,February,29,55,222,18,53,220,gop
1954,March,29,55,222,18,53,220,gop
1954,April,29,55,222,18,53,220,gop
1954,May,29,55,222,18,53,220,gop
1954,June,29,55,222,18,53,220,gop
1954,July,29,55,222,18,53,220,gop
1954,August,29,55,222,18,53,220,gop
1954,September,29,55,222,18,53,220,gop
1954,October,29,55,222,18,53,220,gop
1954,November,29,55,222,19,53,220,gop
1954,December,29,55,222,19,53,220,gop
1955,January,21,47,204,26,48,237,gop
1955,February,21,47,204,26,48,237,gop
1955,March,21,47,204,26,48,237,gop
1955,April,21,47,204,26,48,237,gop
1955,May,21,47,204,26,48,237,gop
1955,June,21,47,204,26,48,237,gop
1955,July,21,47,204,26,48,237,gop
1955,August,21,47,204,26,48,237,gop
1955,September,21,47,204,26,48,237,gop
1955,October,21,47,204,26,48,237,gop
1955,November,21,47,204,26,48,237,gop
1955,December,21,47,204,26,48,237,gop
1956,January,21,49,204,26,51,237,gop
1956,February,21,49,204,26,51,237,gop
1956,March,21,49,204,26,51,237,gop
1956,April,21,49,204,26,50,237,gop
1956,May,21,49,204,26,50,237,gop
1956,June,21,49,204,26,50,237,gop
1956,July,21,49,204,26,50,237,gop
1956,August,21,49,204,26,50,237,gop
1956,September,21,49,204,26,50,237,gop
1956,October,21,49,204,26,50,237,gop
1956,November,21,49,204,26,51,237,gop
1956,December,21,49,204,26,51,237,gop
1957,January,19,47,203,28,52,242,gop
1957,February,19,47,203,28,52,242,gop
1957,March,19,47,203,28,52,242,gop
1957,April,19,47,203,28,52,242,gop
1957,May,19,47,203,28,52,242,gop
1957,June,19,47,203,28,52,242,gop
1957,July,19,47,203,28,52,242,gop
1957,August,19,47,203,28,52,242,gop
1957,September,20,47,203,28,52,242,gop
1957,October,20,47,203,28,52,242,gop
1957,November,20,47,203,28,52,242,gop
1957,December,20,47,203,28,52,242,gop
1958,January,20,47,203,28,52,242,gop
1958,February,20,47,203,28,52,242,gop
1958,March,20,47,203,28,52,242,gop
1958,April,20,47,203,28,52,242,gop
1958,May,20,47,203,28,52,242,gop
1958,June,20,47,203,28,52,242,gop
1958,July,20,47,203,28,52,242,gop
1958,August,20,47,203,28,52,242,gop
1958,September,20,47,203,28,52,242,gop
1958,October,20,47,203,28,52,242,gop
1958,November,20,47,203,28,52,242,gop
1958,December,20,47,203,28,52,242,gop
1959,January,15,35,159,35,65,289,gop
1959,February,15,35,159,35,65,289,gop
1959,March,15,35,159,35,65,289,gop
1959,April,15,35,159,35,65,289,gop
1959,May,15,35,159,35,65,289,gop
1959,June,15,35,159,35,65,289,gop
1959,July,15,35,159,35,65,289,gop
1959,August,15,35,159,35,65,289,gop
1959,September,15,35,159,35,65,289,gop
1959,October,15,35,159,35,65,289,gop
1959,November,15,35,159,35,65,289,gop
1959,December,15,35,159,35,65,289,gop
1960,January,16,35,159,34,70,289,gop
1960,February,16,35,159,34,70,289,gop
1960,March,16,35,159,34,70,289,gop
1960,April,16,35,159,34,70,289,gop
1960,May,16,35,159,34,70,289,gop
1960,June,16,35,159,34,70,289,gop
1960,July,16,35,159,34,70,289,gop
1960,August,16,35,159,34,70,289,gop
1960,September,17,35,159,34,70,289,gop
1960,October,17,35,159,34,70,289,gop
1960,November,17,35,159,34,70,289,gop
1960,December,17,35,159,34,70,289,gop
1961,January,16,37,176,34,64,273,dem
1961,February,16,37,176,34,64,273,dem
1961,March,16,37,176,34,64,273,dem
1961,April,16,37,176,34,64,273,dem
1961,May,16,37,176,34,64,273,dem
1961,June,16,37,176,34,64,273,dem
1961,July,16,37,176,34,64,273,dem
1961,August,16,37,176,34,64,273,dem
1961,September,16,37,176,34,64,273,dem
1961,October,16,37,176,34,64,273,dem
1961,November,16,37,176,34,64,273,dem
1961,December,16,37,176,34,64,273,dem
1962,January,16,42,176,34,65,273,dem
1962,February,16,42,176,34,65,273,dem
1962,March,16,42,176,34,65,273,dem
1962,April,16,42,176,34,65,273,dem
1962,May,16,42,176,34,65,273,dem
1962,June,16,42,176,34,65,273,dem
1962,July,16,42,176,34,65,273,dem
1962,August,16,42,176,34,65,273,dem
1962,September,16,42,176,34,65,273,dem
1962,October,16,42,176,34,65,273,dem
1962,November,16,42,176,34,65,273,dem
1962,December,16,42,176,34,65,273,dem
1963,January,17,34,182,33,68,262,dem
1963,February,17,34,182,33,68,262,dem
1963,March,16,34,182,34,68,262,dem
1963,April,16,34,182,34,68,262,dem
1963,May,16,34,182,34,68,262,dem
1963,June,16,34,182,34,68,262,dem
